cluster,level1_category,level2_category,level3_category,顏色,L1,L2,L3,品牌,品號,商品名稱
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,butyshop 沛莉,5259757,【butyshop沛莉】QueenSize洗卸兩用膠400ml(加大版特殊凝膠球高滲透特配方)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,古寶無患子,5364266,【古寶無患子】經典潔顏美容皂系列(100gX1入)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,T.KI,5415716,【T.KI】蜂膠美顏皂100gX1入(銀)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,藍,綠色生活,美妝保養｜純淨成分,臉部保養,WeOrganic 唯有機,5439321,【唯有機】法國森朵恩泉-活泉深層洗面膠(200ml)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,MUJI無印良品,新品上市,MUJI 無印良品,5497573,【MUJI 無印良品】MUJI敏感肌洗面乳/150ml
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,MUJI無印良品,新品上市,MUJI 無印良品,5497581,【MUJI 無印良品】攜帶用MUJI溫和洗面乳/30g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,MUJI無印良品,新品上市,MUJI 無印良品,5497582,【MUJI 無印良品】攜帶用MUJI溫和保濕洗面乳/30g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,MUJI無印良品,新品上市,MUJI 無印良品,5497727,【MUJI 無印良品】攜帶用MUJI溫和去角質洗面乳/30g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,古寶無患子,5548367,【古寶無患子】洗卸合一保溼晶球凝蜜(買一送一)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,MUJI 無印良品,5645855,【MUJI 無印良品】MUJI敏感肌洗面乳/150ml-3入
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,男士清潔,本月主打 ◆ 精選活動,IBL 依必朗,5767263,【IBL 依必朗】男性專屬洗面乳 活性炭控油
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,男士清潔,洗面乳,IBL 依必朗,5767319,【IBL 依必朗】男性洗面乳 角質淨化
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,AUS LIFE 澳思萊,5813965,【AUS LIFE 澳思萊】茶樹控油調理淨化潔面膠200ml(淨化毛孔 問題肌膚專用潔面品)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,藍,綠色生活,美妝保養｜純淨成分,臉部保養,cosnature 德國植萃,5825879,【cosnature 德國植萃】檸檬香蜂草控油潔顏慕斯150ml(天然認證 角質代謝 淨化毛孔 保濕亮白 泡沫綿密)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,品牌總覽(A-Z),GATSBY,5868344,【GATSBY】潔面濕紙巾15張入(3款任選)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,AUS LIFE 澳思萊,5874567,【AUS LIFE 澳思萊】茶樹檸檬香桃潔顏洗卸慕斯150ml(適合油性及敏感性皮膚使用)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,Sensimin 舒逸敏,5971912,【Sensimin 舒逸敏】滋潤潔膚露200ml
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,MOMUS,6048650,【MOMUS】舒敏洗面乳(100ml-敏感肌)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,館長推薦,WHOO 后,6101931,即期品【WHOO 后】津率享洗顏蜜 180ML〈專櫃公司貨〉
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,藍,綠色生活,美妝保養｜純淨成分,臉部保養,GAMARDE 珂瑪德,6283308,【GAMARDE 珂瑪德】活泉保濕潔面凝膠100g(歐盟有機認證 柔嫩不緊繃)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,GOLD SUITE,6301030,【GOLD SUITE】櫻之粹深層淨化潔顏油 破盤4件組
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,LION 獅王,6507879,【LION 獅王】PAIR沛醫亞凈痘調理洗面乳(80g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,JS 婕洛妮絲,6543439,【JS 婕洛妮絲】海藻胺基酸保濕洗面乳100ml（清潔保濕）
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,藍,綠色生活,美妝保養｜純淨成分,臉部保養,WeOrganic 唯有機,6610504,【WeOrganic 唯有機】法國森朵恩泉-活泉深層洗面膠200mL(2入)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,LION 獅王,6618169,【LION 獅王】PAIR沛醫亞淨痘調理系列3件組(洗面乳80gx2+化妝水160ml)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,水平衡,6745485,【水平衡】超濃密水感泡泡洗面乳-亮白淨透100g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,水平衡,6745531,【水平衡】超濃密水感泡泡洗面乳-清爽水嫩100g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,水平衡,6745532,【水平衡】超濃密水感泡泡洗面乳-深層控油100g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,草本24,6757463,【草本24】Herb24 潤澤保濕潔膚乳350ml(乾燥敏感膚質/中性肌膚/所有膚質)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,abysse,6776287,【abysse】黃金藻保濕亮采潔顏膠 120ml(洗卸合一 / 保濕抗老)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,雪芙蘭,6872656,【雪芙蘭】淨肌礦物泥洗面乳《淨白亮膚》120g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,雪芙蘭,6878485,【雪芙蘭】淨肌冰河泥洗面乳《深層淨膚》120g
