site,level1,item_id,raw_brand,title,matched_name,matched_id,confidence,path,tagged_at,source_name,source_field,source_norm,latin,chinese,matched_id_num,pool_latin,pool_chinese,pool_category,alias_source,latin_length,risk
momo,Home & Living,14635066,草本24,【草本24】Herb24 森森不息 複方純質精油 10ml(清新林木與自然生命力環繞全身),草本24,1112708,45,1.5 品牌欄相符（多個不同品牌，需確認）,2026-09-21 14:57:20,草本24,品牌欄,草本24,24,草本,1112708,24,草本,Home & Living,,2,False
momo,Home & Living,14640794,MAX 美克司,【MAX 美克司】Vaimo11 Flarme釘書機,MAX 美克司,1093294,93,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:57:20,MAX 美克司,品牌欄,max美克司,max,美克司,1093294,max,美克司,Home & Living,,3,False
momo,Home & Living,14661528,333 家居鞋館,【333 家居鞋館】官方直營 Fun Plus+ 舒適防滑布希鞋 3色(防水/氣孔透氣不悶/抓地力加強),No brand,0,80,1.7 品牌欄內容不是品牌,2026-09-21 14:57:20,333 家居鞋館,品牌欄,333家居鞋館,333,家居鞋館,0,nobrand,,Home & Living,,3,False
momo,Home & Living,14662683,SKB 文明,【SKB 文明】SKB 雙色壓克力彩繪筆 12色,SKB,1135929,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,SKB 文明,品牌欄,skb文明,skb,文明,1135929,skb,,Home & Living,auto,3,True
momo,Home & Living,14662684,SKB 文明,【SKB 文明】雙色壓克力彩繪筆 24色,SKB,1135929,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,SKB 文明,品牌欄,skb文明,skb,文明,1135929,skb,,Home & Living,auto,3,True
momo,Home & Living,14662685,SKB 文明,【SKB 文明】雙色壓克力彩繪筆 36色,SKB,1135929,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,SKB 文明,品牌欄,skb文明,skb,文明,1135929,skb,,Home & Living,auto,3,True
momo,Home & Living,14667037,AA 英國皇家芳療,【AA 英國皇家芳療】舒緩自在(Aromatherapy Associates),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:57:20,AA 英國皇家芳療,品牌欄,aa英國皇家芳療,aa,英國皇家芳療,-1,,,,,2,False
momo,Home & Living,14667038,AA 英國皇家芳療,【AA 英國皇家芳療】明煥雙星禮盒(Aromatherapy Associates),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:57:20,AA 英國皇家芳療,品牌欄,aa英國皇家芳療,aa,英國皇家芳療,-1,,,,,2,False
momo,Home & Living,14668501,ASD 愛仕達,【ASD 愛仕達】輕量不鏽快炒鐵鍋34cm,ASD 愛仕達,1090775,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,ASD 愛仕達,品牌欄,asd愛仕達,asd,愛仕達,1090775,asd,愛仕達,Home & Living,,3,False
momo,Home & Living,14668502,ASD 愛仕達,【ASD 愛仕達】晶石不沾炒鍋30cm,ASD 愛仕達,1090775,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,ASD 愛仕達,品牌欄,asd愛仕達,asd,愛仕達,1090775,asd,愛仕達,Home & Living,,3,False
momo,Home & Living,14668503,ASD 愛仕達,【ASD 愛仕達】香芋紫雙鍋組28cm(深炒鍋28cm+平底鍋28cm 通過SGS檢驗 不含PFOA),ASD 愛仕達,1090775,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,ASD 愛仕達,品牌欄,asd愛仕達,asd,愛仕達,1090775,asd,愛仕達,Home & Living,,3,False
momo,Home & Living,14672456,hoi! 好好生活,【hoi! 好好生活】懶角落直角整理收納盒-深款-中,hoi 好好生活,1163076,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,hoi! 好好生活,品牌欄,hoi好好生活,hoi,好好生活,1163076,hoi,好好生活,Home & Living,,3,False
momo,Home & Living,14672457,hoi! 好好生活,【hoi! 好好生活】懶角落直角整理收納盒-中,hoi 好好生活,1163076,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,hoi! 好好生活,品牌欄,hoi好好生活,hoi,好好生活,1163076,hoi,好好生活,Home & Living,,3,False
momo,Home & Living,14672461,hoi! 好好生活,【hoi! 好好生活】懶角落直角整理收納盒-加深款-中,hoi 好好生活,1163076,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,hoi! 好好生活,品牌欄,hoi好好生活,hoi,好好生活,1163076,hoi,好好生活,Home & Living,,3,False
momo,Home & Living,14672463,hoi! 好好生活,【hoi! 好好生活】懶角落直角整理收納盒-大,hoi 好好生活,1163076,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,hoi! 好好生活,品牌欄,hoi好好生活,hoi,好好生活,1163076,hoi,好好生活,Home & Living,,3,False
momo,Home & Living,14672834,草本24,【草本24】Herb24 月光高頻負離子水氧機６件特惠組(保固６個月 香氛機 擴香擴香 加濕器),草本24,1112708,45,1.5 品牌欄相符（多個不同品牌，需確認）,2026-09-21 14:57:20,草本24,品牌欄,草本24,24,草本,1112708,24,草本,Home & Living,,2,False
