site,level1,item_id,raw_brand,title,matched_name,matched_id,confidence,path,tagged_at,source_name,source_field,source_norm,latin,chinese,matched_id_num,pool_latin,pool_chinese,pool_category,alias_source,latin_length,risk
momo,Beauty,10574316,TS6 護一生,【TS6 護一生】沁涼潔淨慕斯100g(私密清潔),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10598305,JS 婕洛妮絲,【JS 婕洛妮絲】海藻胺基酸保濕洗面乳100mlx3（清潔保濕）,JS,5712923,79,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,JS 婕洛妮絲,品牌欄,js婕洛妮絲,js,婕洛妮絲,5712923,js,,Home & Living,,2,True
momo,Beauty,10598456,JS 婕洛妮絲,【JS 婕洛妮絲】黃金蠟菊修護精華乳60ml+黃金蠟菊超導精華30ml（修護抗老．澎彈緊緻）,JS,5712923,79,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,JS 婕洛妮絲,品牌欄,js婕洛妮絲,js,婕洛妮絲,5712923,js,,Home & Living,,2,True
momo,Beauty,10632671,RYO 呂,【RYO 呂】官方直營 滋養韌髮洗髮精 400ml x3入(油性/中乾性/敏感性/扁塌無力/去屑),Ryo,1802408,93,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,RYO 呂,品牌欄,ryo呂,ryo,呂,1802408,ryo,,Beauty,,3,True
momo,Beauty,10700560,JS 婕洛妮絲,【JS 婕洛妮絲】極水潤保濕面膜（7片/盒）（補水透亮）,JS,5712923,79,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,JS 婕洛妮絲,品牌欄,js婕洛妮絲,js,婕洛妮絲,5712923,js,,Home & Living,,2,True
momo,Beauty,10739329,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘匠之技鍛造不銹鋼指甲剪S(G-1200),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10739330,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘匠之技鍛造不銹鋼指甲剪L(G-1201),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10739331,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘匠之技不銹鋼加高寬口指甲剪(G-1203),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10761536,TS6 護一生,【TS6 護一生】超美白香氛誘霜120g 私密保養(私密美白),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10764499,TS6 護一生,【TS6 護一生】男士極淨私密沐浴露 舒涼配方 男士私密清潔(330gX1),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
